# HSK 1-6 word levels — sourced from krmanik/HSK-3.0 (MIT)
# Format: simplified<TAB>pinyin<TAB>level
爱	ài	1
爱好	àihào	1
八	bā	1
爸爸	bàbà	1
吧	ba	1
白	bái	1
白天	bái tiān	1
百	bǎi	1
班	bān	1
半	bàn	1
半年	bàn nián	1
半天	bàn tiān	1
帮	bāng	1
帮忙	bāngmáng	1
包	bāo	1
包子	bāo zi	1
杯	bēi	1
杯子	bēizi5	1
北	běi	1
北边	běi biān	1
北京	běijīng	1
本	běn	1
本子	běn zi	1
比	bǐ	1
别	bié	1
别的	bié de	1
别人	biérén	1
病	bìng	1
病人	bìngrén	1
不大	bùdà	1
不对	bù duì	1
不客气	bù kè qi	1
不用	búyòng	1
不	bù	1
菜	cài	1
茶	chá	1
差	chā	1
常	cháng	1
常常	chángcháng	1
唱	chàng	1
唱歌	chànggē	1
车	chē	1
车票	chēpiào	1
车上	chēshàng	1
车站	chēzhàn	1
吃	chī	1
吃饭	chīfàn	1
出	chū	1
出来	chūlái	1
出去	chūqù	1
穿	chuān	1
床	chuáng	1
次	cì	1
从	cóng	1
错	cuò	1
打	dǎ	1
打车	dǎ chē	1
打电话	dǎdiànhuà	1
打开	dǎkāi	1
打球	dǎqiú	1
大	dà	1
大学	dàxué	1
大学生	dàxuéshēng	1
到	dào	1
得到	dé dào	1
地	dì	1
的	de	1
等	děng	1
地点	dìdiǎn	1
地方	dìfāng	1
地上	dì shang	1
地图	dìtú	1
弟弟	dìdì	1
第	dì	1
点	diǎn	1
电	diàn	1
电话	diànhuà	1
电脑	diànnǎo	1
电视	diànshì	1
电视机	diànshìjī	1
电影	diànyǐng	1
电影院	diànyǐngyuàn	1
东	dōng	1
东边	dōng bian	1
东西	dōngxī	1
动	dòng	1
动作	dòngzuò	1
都	dōu	1
读	dú	1
读书	dúshū	1
对	duì	1
对不起	duìbùqǐ	1
多	duō	1
多少	duōshǎo	1
饿	è	1
儿子	érzi	1
二	èr	1
饭	fàn	1
饭店	fàndiàn	1
房间	fángjiān	1
房子	fángzi	1
放	fàng	1
放假	fàngjià	1
放学	fàngxué	1
飞	fēi	1
飞机	fēijī	1
非常	fēicháng	1
分	fèn	1
风	fēng	1
干	gàn	1
干净	gānjìng	1
干什么	gànshénmo5	1
高	gāo	1
高兴	gāoxìng	1
告诉	gàosù	1
哥哥	gēgē	1
歌	gē	1
个	gè	1
给	gěi	1
跟	gēn	1
工人	gōngrén	1
工作	gōngzuò	1
关	guān	1
关上	guān shàng	1
贵	guì	1
国	guó	1
国家	guójiā	1
国外	guówài	1
过	guò	1
还	hái	1
还是	háishì	1
还有	háiyǒu	1
孩子	háizi	1
汉语	Hàn yǔ	1
汉字	hàn zì	1
好	hǎo	1
好吃	hǎochī	1
好看	hǎokàn	1
好听	hǎotīng	1
好玩儿	hǎowánr	1
号	hào	1
喝	hē	1
和	hé	1
很	hěn	1
后	hòu	1
后边	hoù bian	1
后天	hoù tiān	1
花	huā	1
话	huà	1
坏	huài	1
回	huí	1
回答	huídá	1
回到	huídào	1
回家	huíjiā	1
回来	huílái	1
回去	huíqù	1
会	huì	1
火车	huǒchē	1
机场	jīchǎng	1
机票	jī piào	1
鸡蛋	jī dàn	1
几	jǐ	1
记	jì	1
记得	jìde	1
记住	jì zhu	1
家	jiā	1
家里	jiā lǐ	1
家人	jiārén	1
间	jiān	1
见	jiàn	1
见面	jiànmiàn	1
教	jiāo	1
叫	jiào	1
教学楼	jiào xué loú	1
姐姐	jiějiě	1
介绍	jièshào	1
今年	jīn nián	1
今天	jīn tiān	1
进	jìn	1
进来	jìnlái	1
进去	jìnqù	1
九	jiǔ	1
就	jiù	1
觉得	juéde	1
开	kāi	1
开车	kāi chē	1
开会	kāihuì	1
开玩笑	kāiwánxiào	1
看	kàn	1
看病	kàn bìng	1
看到	kàndào	1
看见	kànjiàn	1
考	kǎo	1
考试	kǎoshì	1
渴	kě	1
课	kè	1
课本	kèběn	1
课文	kè wén	1
口	kǒu	1
块	kuài	1
快	kuài	1
来	lái	1
来到	láidào	1
老	lǎo	1
老人	lǎorén	1
老师	lǎoshī	1
了	le	1
累	lèi	1
冷	lěng	1
里	lǐ	1
里边	lǐ bian	1
两	liǎng	1
零	líng	1
六	liù	1
楼	lóu	1
楼上	loú shàng	1
楼下	loú xià	1
路	lù	1
路口	lù koǔ	1
路上	lù shang	1
妈妈	māmā	1
马路	mǎlù	1
马上	mǎshàng	1
吗	mā	1
买	mǎi	1
慢	màn	1
忙	máng	1
毛	máo	1
没	méi	1
没关系	méiguānxì	1
没什么	méi shén me	1
没事儿	méishìr	1
没有	méiyǒu	1
妹妹	mèimèi	1
门	mén	1
门口	ménkǒu	1
门票	ménpiào	1
们	men	1
米饭	mǐ fàn	1
面包	miànbāo	1
面条儿	miàntiáor	1
名字	míngzi	1
明白	míngbái	1
明年	míng nián	1
明天	míng tiān	1
拿	ná	1
哪	nǎ	1
哪里	nǎlǐ	1
哪儿	nǎér	1
哪些	nǎxiē	1
那	nà	1
那边	nàbiān	1
那里	nàlǐ	1
那儿	nǎēr	1
那些	nǎxiē	1
奶	nǎi	1
奶奶	nǎinǎi	1
男	nán	1
男孩儿	nánháir	1
男朋友	nánpéngyǒu	1
男人	nánrén	1
男生	nánshēng	1
南	nán	1
南边	nán bian	1
难	nán	1
呢	ne	1
能	néng	1
你	nǐ	1
你们	nǐmen	1
年	nián	1
您	nín	1
牛奶	nióunǎi	1
女	nǔ	1
女儿	nǔér	1
女孩儿	nǚháir	1
女朋友	nǔpéngyǒu	1
女人	nǔrén	1
女生	nǔshēng	1
旁边	pángbiān	1
跑	pǎo	1
朋友	péngyou	1
票	piào	1
七	qī	1
起	qǐ	1
起床	qǐchuáng	1
起来	qǐlái	1
汽车	qìchē	1
前	qián	1
前边	qián bian	1
前天	qián tiān	1
钱	qián	1
钱包	qián bāo	1
请	qǐng	1
请假	qǐngjià	1
请进	qǐng jìn	1
请问	qǐngwèn	1
请坐	qǐng zuò	1
球	qiú	1
去	qù	1
去年	qù nián	1
热	rè	1
人	rén	1
认识	rènshì	1
认真	rènzhēn	1
日	rì	1
日期	rìqí	1
肉	ròu	1
三	sān	1
山	shān	1
商场	shāngchǎng	1
商店	shāngdiàn	1
上	shàng	1
上班	shàngbān	1
上边	shàng bian	1
上车	shàng chē	1
上次	shàng cì	1
上课	shàngkè	1
上网	shàng wǎng	1
上午	shàng wǔ	1
上学	shàngxué	1
少	shǎo	1
谁	shéi	1
身上	shēn shang	1
身体	shēntǐ	1
什么	shéme	1
生病	shēngbìng	1
生气	shēngqì	1
生日	shēngrì	1
十	shí	1
时候	shíhòu	1
时间	shíjiān	1
事	shì	1
试	shì	1
是	shì	1
是不是	shì bù shì	1
手	shǒu	1
手机	shoǔ jī	1
书	shū	1
书包	shūbāo	1
书店	shūdiàn	1
树	shù	1
水	shuǐ	1
水果	shuǐguǒ	1
睡	shuì	1
睡觉	shuìjiào	1
说	shuō	1
说话	shuōhuà	1
四	sì	1
送	sòng	1
岁	suì	1
他	tā	1
他们	tāmen	1
她	tā	1
她们	tāmen	1
太	tài	1
天	tiān	1
天气	tiānqì	1
听	tīng	1
听到	tīngdào	1
听见	tīngjiàn	1
听写	tīng xiě	1
同学	tóngxué	1
图书馆	túshūguǎn	1
外	wài	1
外边	wài bian	1
外国	wàiguó	1
外语	wàiyǔ	1
玩儿	wánr	1
晚	wǎn	1
晚饭	wǎn fàn	1
晚上	wǎn shang	1
网上	wǎng shàng	1
网友	wǎng yoǔ	1
忘	wàng	1
忘记	wàngjì	1
问	wèn	1
我	wǒ	1
我们	wǒmen	1
五	wǔ	1
午饭	wǔ fàn	1
西	xī	1
西边	xī biān	1
洗	xǐ	1
洗手间	xǐ shoǔ jiān	1
喜欢	xǐhuān	1
下	xià	1
下班	xiàbān	1
下边	xià bian	1
下车	xiàchē	1
